04_04_2020_023227: Us: Total cases: 277522, Total deaths: 7403, Death rate: 2.67%
04_04_2020_023227: Italy: Total cases: 119827, Total deaths: 14681, Death rate: 12.25%
04_04_2020_023227: France: Total cases: 82165, Total deaths: 6507, Death rate: 7.92%
04_04_2020_023227: Iran: Total cases: 53183, Total deaths: 3294, Death rate: 6.19%
04_04_2020_023227: Uk: Total cases: 38168, Total deaths: 3605, Death rate: 9.45%
04_04_2020_023227: Germany: Total cases: 91159, Total deaths: 1275, Death rate: 1.40%
04_04_2020_023227: Spain: Total cases: 119199, Total deaths: 11198, Death rate: 9.39%
04_04_2020_023227: World: Total cases: 1130576, Total deaths: 60128, Death rate: 5.32%
04_04_2020_023227: Us: Total cases: 277522, Total deaths: 7403, Death rate: 2.67%
04_04_2020_023227: Italy: Total cases: 119827, Total deaths: 14681, Death rate: 12.25%
04_04_2020_023227: France: Total cases: 82165, Total deaths: 6507, Death rate: 7.92%
04_04_2020_023227: Iran: Total cases: 55743, Total deaths: 3452, Death rate: 6.19%
04_04_2020_023227: Uk: Total cases: 38168, Total deaths: 3605, Death rate: 9.45%
04_04_2020_023227: Germany: Total cases: 91159, Total deaths: 1275, Death rate: 1.40%
04_04_2020_023227: Spain: Total cases: 124736, Total deaths: 11744, Death rate: 9.42%
04_04_2020_023227: World: Total cases: 1133377, Total deaths: 60375, Death rate: 5.33%
04_04_2020_023227: Us: Total cases: 277533, Total deaths: 7403, Death rate: 2.67%
04_04_2020_023227: Italy: Total cases: 119827, Total deaths: 14681, Death rate: 12.25%
04_04_2020_023227: France: Total cases: 82165, Total deaths: 6507, Death rate: 7.92%
04_04_2020_023227: Iran: Total cases: 55743, Total deaths: 3452, Death rate: 6.19%
04_04_2020_023227: Uk: Total cases: 38168, Total deaths: 3605, Death rate: 9.45%
04_04_2020_023227: Germany: Total cases: 91159, Total deaths: 1275, Death rate: 1.40%
04_04_2020_023227: Spain: Total cases: 124736, Total deaths: 11744, Death rate: 9.42%
04_04_2020_023227: World: Total cases: 1133815, Total deaths: 60398, Death rate: 5.33%
04_04_2020_023227: Us: Total cases: 277607, Total deaths: 7406, Death rate: 2.67%
04_04_2020_023227: Italy: Total cases: 119827, Total deaths: 14681, Death rate: 12.25%
04_04_2020_023227: France: Total cases: 82165, Total deaths: 6507, Death rate: 7.92%
04_04_2020_023227: Iran: Total cases: 55743, Total deaths: 3452, Death rate: 6.19%
04_04_2020_023227: Uk: Total cases: 38168, Total deaths: 3605, Death rate: 9.45%
04_04_2020_023227: Germany: Total cases: 91159, Total deaths: 1275, Death rate: 1.40%
04_04_2020_023227: Spain: Total cases: 124736, Total deaths: 11744, Death rate: 9.42%
04_04_2020_023227: World: Total cases: 1138646, Total deaths: 61142, Death rate: 5.37%
04_04_2020_023227: Us: Total cases: 277607, Total deaths: 7406, Death rate: 2.67%
04_04_2020_023227: Italy: Total cases: 119827, Total deaths: 14681, Death rate: 12.25%
04_04_2020_023227: France: Total cases: 82165, Total deaths: 6507, Death rate: 7.92%
04_04_2020_023227: Iran: Total cases: 55743, Total deaths: 3452, Death rate: 6.19%
04_04_2020_023227: Uk: Total cases: 41903, Total deaths: 4313, Death rate: 10.29%
04_04_2020_023227: Germany: Total cases: 91589, Total deaths: 1293, Death rate: 1.41%
04_04_2020_023227: Spain: Total cases: 124736, Total deaths: 11744, Death rate: 9.42%
04_04_2020_023227: World: Total cases: 1141069, Total deaths: 61199, Death rate: 5.36%
04_04_2020_023227: Us: Total cases: 279355, Total deaths: 7451, Death rate: 2.67%
04_04_2020_023227: Italy: Total cases: 119827, Total deaths: 14681, Death rate: 12.25%
